"","s1","s2","s3","s4","s5","d1","d2","d3","d4","d5","d6","d7","d8"
"akatorea",0.458193278015777,-0.498277107810312,0,0.508278819644333,0.527460925587367,0,-0.0414916454419359,-0.0418609267841643,-0.0417440230466667,0,0,0,0
"akatoreb",0.460511934362681,-0.470157616721336,-0.0232063726393126,0.482717144208643,0.572684381678068,-0.010862432219169,-0.0433462535992002,-0.0330074908033703,-0.0476698133256707,0,0,0,0
"benguela",0.391339795606636,0.214568617992016,-0.177144670458072,-0.396367564640098,0.218110391419451,-0.176416313499981,0.311959250360734,-0.38205619414172,-0.24074365996045,-0.302007028437798,0.26310551648686,-0.182274675214207,-0.196802690601861
"berwick",0.481881782493266,-0.488639655094552,-0.0206574155049191,0.496753349315008,0.528406658311754,0,-0.029853474390066,-0.0266168485714288,-0.0318956609892462,0,0,0,0
"blackrock",0.438522194377524,-0.510983120513551,-0.0749536373990182,0.455870207321537,0.557322362473657,-0.0139782048643036,-0.0843251006888097,-0.0765364029390815,-0.0904317605790826,-0.0347676441381757,0,0,0
"bridgebrook",0.390162156837415,-0.337708455545477,-0.182934090710583,0.404351322549528,0.471990382776885,0.186274676666123,-0.00556455144369827,-0.231225722628246,-0.262011437827932,-0.198028991336947,0.267922308257007,-0.172915189501195,-0.127454463280635
"broad",0.479960990681791,-0.495444140081928,-0.049301502257141,0.49243673664522,0.506489717516475,-0.0393899203887478,-0.08677870812176,-0.0699387400858911,-0.0864090879582831,-0.0357221493140092,0,0,0
"broom",-0.234557285778966,0.530903616030499,-0.121258370247554,-0.622958087580897,-0.368271051296359,-0.160425954899682,-0.14957477524097,-0.151382355691632,-0.147978963632494,-0.152269226033405,0,-0.0581140432040729,-0.072343906533895
"bsq",0.328274557628597,-0.293948829965497,-0.16203290644904,0.347055301492347,0.346733253004792,-0.277389194413146,-0.333485951977501,-0.31903097274367,-0.317139200484241,-0.236489388418482,-0.151705758540759,-0.195983365919038,-0.176172867511178
"canton",0.531410400098075,-0.437948503172451,-0.0600712940017342,0.533213363030293,0.46508774498341,-0.0260353433102282,-0.0842384817558659,-0.0803143111168718,-0.0857209679468763,0,0,0,0
"catlins",0.451998779247665,-0.491567131665493,-0.0284585199080582,0.527399867280852,0.522670547102432,0,-0.021784839043879,-0.0274505229123946,-0.0261866384416929,0,0,0,0
"caymen fw",0.356127058691375,-0.416044418101887,-0.210524235012997,0.365162606607326,0.394825005635128,-0.321382971337067,-0.1335915528769,-0.323288438818495,-0.254679375950385,-0.16811659686588,0,-0.0771770178096267,-0.20444900017808
"chesapeake",0.342512283283525,0.614617144931413,-0.249030031785409,-0.247514115995003,0.273223000568442,-0.185814045478503,-0.191309557559214,-0.320114188239677,-0.325934632566006,-0.138048996558183,0,-0.0389503133583985,-0.0812019807547806
"coachella",0.155557150871148,0.0805230385576852,-0.248540626042844,-0.352152334644096,-0.162983576333229,-0.078123180777778,0.209537293386983,-0.147666691133901,-0.2884539711835,-0.463543663337239,0.547775374055299,-0.215551776809892,-0.201388298435349
"coweeta1",0.602586914588856,0.028013188779896,-0.103947750362918,0.437003311949588,0.465391616095624,-0.124149575067639,-0.241336554141817,-0.264106583527906,-0.265113110306218,-0.015314325597726,0,0,-0.0617224366506372
"coweeta17",0.479222591415367,-0.338869149335711,-0.0519078861766938,0.558025983371931,0.542169177126147,-0.0424337216523792,-0.114774448703893,-0.128287960138048,-0.125879268737347,0,0,0,-0.0141907819256282
"csm",0.345132259192817,-0.0365966669000408,-0.324614575057996,0.412198113489165,0.42387776053693,-0.291035335904655,-0.243258527881082,-0.280230934267702,-0.27808516812218,-0.248443573051442,-0.0669975100426413,-0.166244729202231,-0.176076528652333
"cuban fw",0.343533502729049,-0.392215528882519,-0.207188125049277,0.357792128383999,0.368632364044716,-0.33141675813764,-0.208686494614471,-0.334018261050204,-0.272105953687519,-0.176305389001104,0,-0.155948841748001,-0.164070608277122
"dempstersau",0.459808944896155,-0.500985041555478,-0.0768543119619072,0.474224886273219,0.523083024199612,-0.0486273147031741,-0.0888526849485748,-0.0964802085185223,-0.101771846163154,-0.0432710276224763,0,0,-0.0371524911788062
"dempsterssp",0.52290521001408,-0.447874242607767,-0.050874350911773,0.526400551694528,0.488385250446937,-0.00895335820266636,-0.049262259790005,-0.04489437313506,-0.0524012984242096,-0.0113061854833754,0,0,-0.0194099814758862
"dempsterssu",0.388111380550314,-0.503415751374103,-0.140679963561815,0.406517135682972,0.464149389292488,-0.163811496211877,-0.221268136617093,-0.210812603896196,-0.210804809938265,-0.131161017552619,0,-0.0517570357667959,-0.104422356413585
"elverde",0.375157915809184,-0.223217794438113,-0.207028648635096,0.375230576681807,0.381553443937085,-0.413845494646374,-0.278689189920452,-0.317522226095535,0.20611843188673,-0.13432656938429,-0.0153230457148524,-0.122261138748731,0.233925923686563
"epb",0.29050271036916,-0.456378524683816,-0.229705275355272,0.324722058447756,0.343324998574614,-0.345790941466245,-0.210449498621106,-0.244404292739509,-0.262347044613018,-0.261124316963163,-0.114115910020963,-0.167527386208597,-0.171907714500549
"flensburg",0.363563987937091,-0.527050696639169,-0.126400730914068,0.420067218907899,0.519240134967678,-0.17691236178024,-0.121112302920165,-0.163531422910695,-0.176849124980333,-0.12487555808197,0,-0.0584421204472345,-0.070718876589774
"german",0.420609805865436,-0.519447343367545,-0.0613409336614852,0.439260324837903,0.571962494852196,-0.0399366128254754,-0.0883605055643786,-0.0978488922628233,-0.0986976222152052,-0.0259243357189837,0,0,-0.00426620715591696
"grass",-0.0887987615824559,0.706533221023719,-0.0679178284854521,-0.660718162826343,-0.193656575475816,-0.0375306371046243,0,-0.092321210098627,-0.0631718221280927,-0.0184109349278321,0,0,0
"healy",0.548331946625716,-0.389495054009087,-0.0888343979047033,0.512748277501963,0.4620347653858,-0.0504075767456999,-0.125601586298143,-0.159679264077714,-0.126820963776268,-0.0503682345864382,0,0,-0.0302083249419545
"jamaican fw",0.344275579384278,-0.3511960668407,-0.302717138396397,0.346178649575253,0.347955329227593,-0.293104983383451,-0.228699028469209,-0.338596253381478,-0.319261662172137,-0.22341869884519,0,-0.115228113591439,-0.0871938749989236
"kyeburn",0.428562244504257,-0.534147485605534,-0.0475512079651561,0.43813023382192,0.557484887602636,-0.0344118766482847,-0.0813160409820578,-0.0809525472367665,-0.0826300756082008,-0.0625410285131195,0,-0.0146946855661239,-0.0265972372189949
"lilkyeburn",0.448641395410896,-0.481881872896704,-0.0972668738190632,0.49958884750669,0.529717048765989,-0.0495425049562598,-0.0836051689219847,-0.083971113081447,-0.0856639177661792,-0.0482231322756156,0,0,-0.0264865372389361
"littlerock",0.0129581455917488,0.158441258335758,-0.236558568823455,-0.339761800896822,-0.239406044989494,0.363925625308205,0.394070308782603,-0.300396706068553,-0.252138978634706,-0.274953437195308,0.391914507955871,-0.247908850799138,-0.117534994149446
"martins",0.374275136123834,-0.569908934823663,-0.138463080450401,0.437926491930674,0.470460497671015,-0.106850753360665,-0.171337391468642,-0.146519245599968,-0.187387694303885,-0.0405641899360424,0,-0.0357899537928874,-0.0505491327509143
"narrowdale",0.335721660171394,-0.482228556481689,-0.0254530300630714,0.449479114504658,0.629558150415255,-0.0505613325181088,-0.122584768720465,-0.135044083371475,-0.129449674905757,-0.0441227562645095,0,-0.0153557696759808,-0.0310415269915081
"northcol",0.349210794746953,-0.500740912608244,-0.0669190651185577,0.520585920225071,0.568170418888409,-0.0646402551607035,-0.0802856292355261,-0.0889973447271921,-0.0901319286375245,-0.0166591447210434,0,-0.014606914586879,-0.0429598292097066
"otago",0.276977045112828,-0.373944037397908,-0.261525303941015,0.285157341051074,0.407755353535591,0.244374892673022,-0.0669886663308725,-0.271722479547616,-0.161227328496129,-0.26524076550399,0.445503380333573,-0.152401275707412,-0.106719023323644
"powder",0.518025378150598,-0.428011747683309,-0.0274691032560631,0.536912425590715,0.500736792214848,-0.0112850387843677,-0.052395956172763,-0.0485251431493784,-0.0566834693199962,-0.0157612955227163,0,0,0
"quick",0.256448505227731,0.134975228323978,-0.217256410380073,-0.210856009102639,-0.297730763188012,0.345571440323641,0.266416442993907,-0.409222198927284,-0.333388335140178,-0.246087313082913,0.276263502346607,-0.263524875600862,-0.245719067461147
"reef",0.447572426106955,0.387984777942299,-0.216902622484404,-0.218291993409338,-0.206509157792744,-0.0299658650778314,-0.0878190241430196,-0.470072388692254,-0.255088154408799,-0.293341212954036,0.168504123905801,-0.225271947831027,-0.227956690014313
"shelf",0.317433462582435,0.303372573550513,-0.237846054322159,0.0764220640826925,-0.198888218748711,-0.363731250095645,-0.301300495946147,-0.314717913440378,-0.292593793479553,-0.443283823207617,-0.158669437774066,-0.219274035302494,-0.166538080697647
"skipwith",0.603066128480613,0.00362821553477159,-0.113280009937995,0.190035841305605,0.209620715670057,0.000427183717904269,0.0117190916002656,-0.350269054748159,-0.299532595422362,-0.252594736514019,0.275169871756668,-0.397546759709393,-0.182481679190091
"stmarks",0.397086987022537,0.491897515037233,-0.253052034507841,0.111667558639745,0.0574583571706106,-0.226082909144296,-0.241418051224223,-0.377394495989731,-0.424161089507836,-0.228670409505512,-0.0282358510036059,-0.114176856850421,-0.150642470712183
"stmartin",0.466197028981119,0.490955244288275,-0.176496599764217,0.249183209704828,0.00289331368821315,-0.268637010711742,-0.256648359088139,-0.306556654199137,-0.353269830858383,-0.24831765163815,-0.0401718604545404,-0.125682475936955,-0.111755477107058
"stony",0.41361041293715,-0.548760741482677,-0.0562307865901477,0.432171861436563,0.534426151250169,-0.0539992145634577,-0.116663590607335,-0.125682311728848,-0.121572004312233,-0.0485890580281006,0,-0.0225376995842844,-0.0476591636068787
"suttonau",0.492722136844001,-0.500658760275581,-0.0107458605398403,0.500255462845005,0.505474842393094,0,-0.0160437048144894,-0.013200822026372,-0.0160692731484134,0,0,0,0
"suttonsp",0.494477259106468,-0.500411699195284,-0.0173994156202652,0.502667895728212,0.49996044516914,-0.01290702239831,-0.0298266656431545,-0.0142298526527253,-0.0297230857157525,0,0,0,0
"suttonsu",0.517074176257507,-0.40716547237435,-0.0156881123346809,0.52679209482289,0.530600588840175,0,-0.0614549501468701,0,-0.0614886212415249,0,0,0,0
"sylt",0.364092388130772,-0.134003079102109,-0.233403642310663,0.402560954797805,0.407099369657608,-0.257192190265353,-0.0621725896630774,-0.339839918601842,-0.312816635762897,-0.338078840005042,-0.0691807070250181,-0.18085749738126,-0.179069958905129
"troy",0.346489960859539,-0.62731695914049,-0.0305791251072515,0.433712111683771,0.533131027216532,-0.0491484927630645,-0.0561267546118648,-0.0570226175930899,-0.0603254846808773,-0.0131390335913183,0,-0.0208199799241927,-0.00924841568909486
"venlaw",0.381446105985644,-0.513207644440043,-0.0446382787930968,0.461860978553012,0.603278746879205,-0.0195350360891133,-0.0615243492329105,-0.0589063743325579,-0.0607138679729398,-0.0144833069780032,0,0,-0.0181832882392651
"ythan_nopar96",0.402089717545759,-0.0833793818743388,-0.166196396588421,0.382474138212387,0.477222284158138,-0.180755045409632,-0.215176433070513,-0.320217566531428,-0.318007565341511,-0.293677483019955,-0.0739015891694915,-0.169954312052611,-0.162754902123134
