"","s1","s2","s3","s4","s5","d1","d2","d3","d4","d5","d6","d7","d8"
"1",79.48,45.636,0,754.764,1433.107,0,0.247,0.602,0.882,0,0,0,0
"2",38.324,32.007,0.018,315.374,481.81,0.004,0.247,0.063,0.908,0,0,0,0
"3",191.916,384.13,4.873,516.851,365.297,33.325,27.002,46.9,53.903,13.933,0.18,5.79,3.523
"4",83.337,58.521,0.083,807.764,1507.406,0,0.274,0.422,1.272,0,0,0,0
"5",264.069,166.514,0.459,2370.51,1872.413,0.019,5.258,1.424,13.432,0.107,0,0,0
"6",1120.142,956.46,9.926,5657.153,1151.679,17.449,112.776,49.389,319.257,17.285,0.519,7.427,6.998
"7",329.569,297.333,0.26,4776.866,3864.721,0.108,4.9,2.191,11.255,0.113,0,0,0
"8",610.934,175.413,1.332,438.559,3395.097,6.162,1.694,51.873,10.25,1.72,0,0.395,0.411
"9",3885.847,1393.792,11.229,8854.585,4720.118,116.12,103.335,308.035,447.223,24.124,2.922,18.448,10.749
"10",435.554,351.606,0.298,6286.223,5731.048,0.056,4.873,2.677,9.178,0,0,0,0
"11",31.527,32.552,0.104,160.426,696.427,0,0.11,0.297,0.405,0,0,0,0
"12",19666.011,7732.081,15.301,62076.712,51680.941,27.846,52.176,229.813,374.639,7.18,0,0.221,3.191
"13",72.158,13.679,0.73,61.92,124.049,0.597,0.465,6.527,3.874,0.286,0,0.019,0.102
"14",265.246,597.868,16.902,502.972,349.082,112.338,112.348,119.764,149.268,64.576,6.339,59.583,22.751
"15",57.565,35.726,0.051,261.13,546.57,0.116,0.42,1.419,1.338,0.001,0,0,0.016
"16",61.618,33.408,0.063,405.783,806.475,0.043,0.439,2.789,2.225,0,0,0,0.005
"17",3460.294,968.067,15.349,5010.232,4770.911,46.24,34.931,264.355,264.431,18.932,0.212,7.539,13.89
"18",20749.797,7953.061,24.095,63314.85,54103.955,24.075,67.274,292.839,348.713,10.273,0,1.038,1.998
"19",285.722,230.087,0.801,2971.18,2042.781,0.266,5.185,3.085,15.948,0.242,0,0,0.133
"20",391.247,317.322,0.445,3728.369,3849.375,0.012,3.743,1.326,7.425,0.019,0,0,0.054
"21",1532.955,1162.397,2.426,9363.502,7505.946,3.277,37.451,39.411,91.202,1.726,0,0.277,1.074
"22",7622.346,3107.947,74.163,11010.832,9666.055,251.159,423.692,1325.956,2205.429,202.096,13.502,133.219,229.88
"23",8315.956,2204.744,23.487,14669.833,9761.5,97.858,127.569,469.354,676.289,34.438,1.352,16.676,23.943
"24",1019.443,842.93,5.519,3263.848,2310.405,13.584,21.237,50.225,110.921,7.923,0,0.711,2.423
"25",316.578,196.654,0.77,1716.44,1929.665,0.286,6.198,4.741,19.554,0.1,0,0,0.003
"26",87.965,10.589,0.297,211.48,161.851,0.182,0,4.126,0.428,0.025,0,0,0
"27",668.833,562.483,0.715,4711.961,4600.376,0.467,8.733,12.849,27.989,0.307,0,0,0.094
"28",21941.956,8733.033,31.359,70819.648,59374.797,61.481,33.659,346.446,430.816,12.794,0,0.557,0.67
"29",364.897,407.213,0.27,6102.427,4254.332,0.431,12.606,4.339,21.897,0.576,0,0.03,0.092
"30",398.27,222.313,1.656,1880.405,1821.974,0.417,5.503,5.611,17.236,0.44,0,0,0.136
"31",12192.683,8775.902,59.116,39772.098,11910.493,262.08,642.801,471.816,1864.816,93.928,10.252,36.806,32.843
"32",405.334,157.384,1.223,1186.942,2133.374,0.997,2.174,6.724,11.668,0.074,0,0.057,0.158
"33",60.629,42.357,0.019,335.874,1190.869,0.071,1.255,1.85,4.428,0.055,0,0.007,0.028
"34",188.67,100.14,0.285,639.024,1663.325,0.615,2.248,7.617,7.557,0.022,0,0.017,0.407
"35",4620.935,2458.806,31.044,9895.372,8442.696,124.234,240.355,500.271,891.978,54.321,3.513,41.838,52.424
"36",162.81,119.394,0.075,844.735,1807.259,0.018,0.786,0.501,2.848,0.026,0,0,0
"37",2673.273,2908.37,70.822,6544.537,2361.711,283.588,883.953,512.08,1406.77,228.65,58.648,255.703,116.561
"38",1122.078,1329.395,55.079,2145.574,1203.948,151.52,238.279,308.123,503.681,127.985,9.696,88.687,51.701
"39",3976.601,8414.911,59.532,11407.873,8110.652,519.084,715.049,724.486,1019.16,222.256,6.641,115.748,51.992
"40",155.803,1165.93,3.715,1935.869,479.53,53.941,310.734,36.252,105.882,20.562,8.184,29.713,6.629
"41",482.226,144.224,8.804,427.307,560.357,6.618,6.263,56.845,53.939,5.137,0.047,1.109,3.056
"42",385.038,188.574,5.866,668.576,481.627,7.785,12.092,35.947,59.889,6.801,0.129,1.532,2.169
"43",482.768,520.288,0.473,8396.529,7771.716,0.298,25.43,8.868,43.053,0.247,0,0.082,0.525
"44",122.886,96.419,0.009,2487.395,1473.136,0,0.107,0.026,0.308,0,0,0,0
"45",106.593,99.897,0.034,3354.664,1969.898,0.019,1.018,0.046,1.89,0,0,0,0
"46",96.217,180.935,0.046,6230.631,1543.871,0,9.194,0,10.319,0,0,0,0
"47",3513.449,1719.439,16.776,6448.502,7478.11,92.638,77.598,331.757,367.778,23.811,0.412,9.282,15.404
"48",138.72,55.403,0.125,464.053,754.916,0.29,0.615,1.576,3.381,0.018,0,0.044,0.009
"49",113.148,63.196,0.255,573.18,878.62,0.055,1.989,2.73,6.48,0.031,0,0,0.103
"50",837.154,382.155,3.907,1688.256,2346.463,26.173,27.365,123.846,123.153,19.357,0.44,6.228,3.2
