"","Model","Var1","Var2","value"
"1","Curveball",1,"s1",0.421764649979519
"2","Curveball",2,"s1",0.444111473234191
"3","Curveball",3,"s1",0.421657419379701
"4","Curveball",4,"s1",0.435419733664854
"5","Curveball",5,"s1",0.453528629729553
"6","Curveball",6,"s1",0.485559033062919
"7","Curveball",7,"s1",0.472230042997393
"8","Curveball",8,"s1",-0.0722354304082091
"9","Curveball",9,"s1",0.423366232305336
"10","Curveball",10,"s1",0.461722051018239
"11","Curveball",11,"s1",0.455945019268263
"12","Curveball",12,"s1",0.439243653039096
"13","Curveball",13,"s1",0.345429204544356
"14","Curveball",14,"s1",0.154452227247788
"15","Curveball",15,"s1",0.623230159928752
"16","Curveball",16,"s1",0.422293177689663
"17","Curveball",17,"s1",0.429197329452197
"18","Curveball",18,"s1",0.440028863467191
"19","Curveball",19,"s1",0.434826974689701
"20","Curveball",20,"s1",0.422401144865885
"21","Curveball",21,"s1",0.438005193554634
"22","Curveball",22,"s1",0.221879499614619
"23","Curveball",23,"s1",0.411906595260964
"24","Curveball",24,"s1",0.473707002998284
"25","Curveball",25,"s1",0.388848787335888
"26","Curveball",26,"s1",-0.107705896344315
"27","Curveball",27,"s1",0.419023573702149
"28","Curveball",28,"s1",0.435719236420511
"29","Curveball",29,"s1",0.492213771843113
"30","Curveball",30,"s1",0.361005797591304
"31","Curveball",31,"s1",0.047680397360564
"32","Curveball",32,"s1",0.438513809556382
"33","Curveball",33,"s1",0.347796126903082
"34","Curveball",34,"s1",0.421214963049735
"35","Curveball",35,"s1",0.366115098074111
"36","Curveball",36,"s1",0.435134743471139
"37","Curveball",37,"s1",0.12269702336378
"38","Curveball",38,"s1",0.357989703057684
"39","Curveball",39,"s1",0.445942633808623
"40","Curveball",40,"s1",0.617530566527337
"41","Curveball",41,"s1",0.403296640796067
"42","Curveball",42,"s1",0.505335780825365
"43","Curveball",43,"s1",0.474282278274457
"44","Curveball",44,"s1",0.478661801003834
"45","Curveball",45,"s1",0.500365612474177
"46","Curveball",46,"s1",0.597892437409404
"47","Curveball",47,"s1",0.436148732093671
"48","Curveball",48,"s1",0.393431427564532
"49","Curveball",49,"s1",0.388700918126707
"50","Curveball",50,"s1",0.478604583281607
"51","Curveball",1,"s4",0.519275427665861
"52","Curveball",2,"s4",0.485022465906875
"53","Curveball",3,"s4",-0.404575944136107
"54","Curveball",4,"s4",0.533828466026541
"55","Curveball",5,"s4",0.487292603596526
"56","Curveball",6,"s4",0.487666272467753
"57","Curveball",7,"s4",0.538725982245525
"58","Curveball",8,"s4",-0.700680247482664
"59","Curveball",9,"s4",0.494533505194798
"60","Curveball",10,"s4",0.520543819078928
"61","Curveball",11,"s4",0.536740711076711
"62","Curveball",12,"s4",0.48905722004047
"63","Curveball",13,"s4",-0.301831656784187
"64","Curveball",14,"s4",-0.41148294705039
"65","Curveball",15,"s4",0.503874524147783
"66","Curveball",16,"s4",0.596027100826797
"67","Curveball",17,"s4",0.475877631048447
"68","Curveball",18,"s4",0.490354324631502
"69","Curveball",19,"s4",0.497669417107651
"70","Curveball",20,"s4",0.492350451619722
"71","Curveball",21,"s4",0.517658428131907
"72","Curveball",22,"s4",0.14048273826971
"73","Curveball",23,"s4",0.463968880177363
"74","Curveball",24,"s4",0.552574586249521
"75","Curveball",25,"s4",0.461145866440453
"76","Curveball",26,"s4",-0.679765815058158
"77","Curveball",27,"s4",0.524937192931558
"78","Curveball",28,"s4",0.482871719755985
"79","Curveball",29,"s4",0.536985457857517
"80","Curveball",30,"s4",0.456954139520953
"81","Curveball",31,"s4",-0.0976144179957513
"82","Curveball",32,"s4",0.517044043469428
"83","Curveball",33,"s4",0.447663165921041
"84","Curveball",34,"s4",0.554692187895004
"85","Curveball",35,"s4",0.403472228489969
"86","Curveball",36,"s4",0.540676285732637
"87","Curveball",37,"s4",-0.113451761059781
"88","Curveball",38,"s4",-0.213157871226175
"89","Curveball",39,"s4",-0.0126039648580925
"90","Curveball",40,"s4",0.215923391949397
"91","Curveball",41,"s4",0.0863222964026674
"92","Curveball",42,"s4",0.260059794281932
"93","Curveball",43,"s4",0.550791827937754
"94","Curveball",44,"s4",0.516866759164067
"95","Curveball",45,"s4",0.545011112819634
"96","Curveball",46,"s4",0.626244987405758
"97","Curveball",47,"s4",0.437999583265505
"98","Curveball",48,"s4",0.490112295870213
"99","Curveball",49,"s4",0.497590838798398
"100","Curveball",50,"s4",0.490458474032638
"101","Curveball",1,"s5",0.580759793436185
"102","Curveball",2,"s5",0.579507089153009
"103","Curveball",3,"s5",0.199989952119263
"104","Curveball",4,"s5",0.554483631965173
"105","Curveball",5,"s5",0.596888976663403
"106","Curveball",6,"s5",0.528552966306996
"107","Curveball",7,"s5",0.563175520322795
"108","Curveball",8,"s5",-0.140570022249293
"109","Curveball",9,"s5",0.537020340997134
"110","Curveball",10,"s5",0.574375507213789
"111","Curveball",11,"s5",0.540150016326224
"112","Curveball",12,"s5",0.56315086439663
"113","Curveball",13,"s5",0.23940920446146
"114","Curveball",14,"s5",-0.15753980193984
"115","Curveball",15,"s5",0.417642838715081
"116","Curveball",16,"s5",0.55346101714171
"117","Curveball",17,"s5",0.487199901527124
"118","Curveball",18,"s5",0.564023490006347
"119","Curveball",19,"s5",0.591230759831232
"120","Curveball",20,"s5",0.624078390418211
"121","Curveball",21,"s5",0.626392839463199
"122","Curveball",22,"s5",0.53672480801445
"123","Curveball",23,"s5",0.561771544357967
"124","Curveball",24,"s5",0.570074992841002
"125","Curveball",25,"s5",0.66672435486273
"126","Curveball",26,"s5",-0.185016936337502
"127","Curveball",27,"s5",0.625284236461788
"128","Curveball",28,"s5",0.565179130666843
"129","Curveball",29,"s5",0.555528644855361
"130","Curveball",30,"s5",0.6863181969407
"131","Curveball",31,"s5",-0.314223124578356
"132","Curveball",32,"s5",0.578413351753226
"133","Curveball",33,"s5",0.631215394991967
"134","Curveball",34,"s5",0.555164830456193
"135","Curveball",35,"s5",0.589404516588012
"136","Curveball",36,"s5",0.568464773338252
"137","Curveball",37,"s5",-0.382180776293058
"138","Curveball",38,"s5",-0.189435704824258
"139","Curveball",39,"s5",-0.181583982491238
"140","Curveball",40,"s5",0.221139677553188
"141","Curveball",41,"s5",0.0599101635741656
"142","Curveball",42,"s5",0.0254149185680633
"143","Curveball",43,"s5",0.55890541784932
"144","Curveball",44,"s5",0.551832244147734
"145","Curveball",45,"s5",0.524389337539582
"146","Curveball",46,"s5",0.392564790750338
"147","Curveball",47,"s5",0.434089066427585
"148","Curveball",48,"s5",0.611961386226073
"149","Curveball",49,"s5",0.630890478366317
"150","Curveball",50,"s5",0.475497458692093
"151","Curveball",1,"s2",-0.45911476983833
"152","Curveball",2,"s2",-0.471203395488201
"153","Curveball",3,"s2",0.249680163937031
"154","Curveball",4,"s2",-0.464749107770777
"155","Curveball",5,"s2",-0.427056309124214
"156","Curveball",6,"s2",-0.20391605131539
"157","Curveball",7,"s2",-0.406958654811242
"158","Curveball",8,"s2",0.657294986895082
"159","Curveball",9,"s2",-0.0544083521604348
"160","Curveball",10,"s2",-0.424968444771504
"161","Curveball",11,"s2",-0.458559226002622
"162","Curveball",12,"s2",-0.350865701377362
"163","Curveball",13,"s2",0.582630840000135
"164","Curveball",14,"s2",0.102183496166928
"165","Curveball",15,"s2",0.0312321384037207
